Postcode,ABN,StartYear,EndYear
5006,20450213893,0.0,2012.25
5000,27686379480,0.0,2005.0833333333333
5000,48102241761,0.0,2013.5
5000,42859253619,2015.4166666666667,2015.5833333333333
5000,42145678977,2010.6666666666667,2015.5833333333333
5006,31152780134,2006.25,2015.5833333333333
5000,18680528458,2008.0833333333333,2015.5833333333333
5000,42255496639,0.0,2012.0833333333333
5006,23142664364,2010.3333333333333,2015.5833333333333
5006,43394277044,2007.25,2015.5833333333333
5000,51137635475,2011.4166666666667,2015.5833333333333
5000,36120290575,0.0,2008.1666666666667
5006,37084987664,2000.25,2015.5833333333333
5006,23718728103,1999.0833333333333,2015.5833333333333
5000,38537811478,1999.0833333333333,2015.5833333333333
5006,16397522997,2008.6666666666667,2015.5833333333333
5000,19186960719,0.0,2007.6666666666667
5000,14117083271,0.0,2007.3333333333333
5000,23008050815,0.0,1999.0833333333333
5000,52480341177,2011.0,2015.5833333333333
5000,13155403805,0.0,2003.0
5006,41006479198,0.0,2015.3333333333333
5006,53008087027,2000.25,2015.5833333333333
5006,30223029744,2007.6666666666667,2015.5833333333333
5000,38321765308,2001.3333333333333,2015.5833333333333
5000,23251040528,2010.6666666666667,2015.5833333333333
5000,24392652784,0.0,2004.25
5000,16113232518,0.0,2008.25
5000,24408460091,2007.5833333333333,2015.5833333333333
5000,18081258765,0.0,2003.4166666666667
5000,34251739343,1999.0833333333333,2015.5833333333333
5006,49060097994,2000.25,2015.5833333333333
5000,51845895032,2012.75,2015.5833333333333
5000,33139741503,0.0,2015.3333333333333
5000,41252785171,0.0,2004.5
5000,36426567252,2000.3333333333333,2015.5833333333333
5000,44821449821,1999.0833333333333,2015.5833333333333
5000,33594909193,0.0,2014.4166666666667
5000,31660959246,2000.5,2015.5833333333333
5006,32150931664,2011.0,2015.5833333333333
5000,18199576530,2007.1666666666667,2015.5833333333333
5000,11797810040,2014.75,2015.5833333333333
5000,29969561980,2011.1666666666667,2015.5833333333333
5000,29127173951,2007.6666666666667,2015.5833333333333
5000,50454906817,2014.5833333333333,2015.5833333333333
5000,54011793019,2007.5,2015.5833333333333
5000,15362532570,0.0,2008.1666666666667
5000,22094490161,2001.0833333333333,2015.5833333333333
5006,49008805490,2000.4166666666667,2015.5833333333333
5000,12647062989,0.0,2015.4166666666667
5000,22136260494,2009.25,2015.5833333333333
5000,19149763014,2012.4166666666667,2015.5833333333333
5000,20015663667,0.0,2007.0
5000,40052823690,2010.75,2015.5833333333333
5000,44389242968,2002.4166666666667,2015.5833333333333
5000,53151220496,2011.5,2015.5833333333333
5000,36204978020,2007.5,2015.5833333333333
5006,48567207331,2000.25,2015.5833333333333
5000,23870865488,1999.0833333333333,2015.5833333333333
5000,14168413916,0.0,2003.5833333333333
5000,41437324026,0.0,2010.3333333333333
5000,23084411530,0.0,2004.5
5000,36528712545,0.0,2013.5
5000,35491074378,1999.0833333333333,2015.5833333333333
5000,40796490302,2011.6666666666667,2015.5833333333333
5000,36695877181,2000.4166666666667,2015.5833333333333
5000,43242187118,1999.0833333333333,2015.5833333333333
5000,31380836741,0.0,2007.25
5006,34846548247,2011.5833333333333,2015.5833333333333
5000,53086342300,2000.4166666666667,2015.5833333333333
5000,33103560390,2003.1666666666667,2015.5833333333333
5000,48485176988,1999.0833333333333,2015.5833333333333
5000,36554112066,0.0,2010.5
5000,45184705710,2000.25,2015.5833333333333
5000,47699494037,2005.5,2015.5833333333333
5000,38167689036,2014.0833333333333,2015.5833333333333
5000,31055492891,2000.5833333333333,2015.5833333333333
5000,48824520150,2004.5833333333333,2015.5833333333333
5000,14131850818,2008.5833333333333,2015.5833333333333
5000,27281034981,2008.4166666666667,2015.5833333333333
5006,53503186173,2010.5,2015.5833333333333
5000,17825575014,2001.1666666666667,2015.5833333333333
5000,45928949370,2007.5833333333333,2015.5833333333333
5000,53684880988,0.0,2009.1666666666667
5000,11128646088,0.0,2015.3333333333333
5000,29983206414,0.0,2003.25
5000,52890377801,2009.5,2015.5833333333333
5006,15980158850,2011.6666666666667,2015.5833333333333
5000,11711326268,1999.0833333333333,2015.5833333333333
5000,38632150634,2003.5833333333333,2015.5833333333333
5000,43085421786,0.0,2006.0
5000,12304164750,2014.1666666666667,2015.5833333333333
5006,13602058622,2014.0,2015.5833333333333
5000,31962161073,0.0,2004.25
5000,40653125361,2011.5833333333333,2015.5833333333333
5000,51896159981,2013.0,2015.5833333333333
5000,43083845505,0.0,2005.1666666666667
5000,22544896110,2000.25,2015.5833333333333
5000,42912246233,2007.6666666666667,2015.5833333333333
5000,19680457593,2013.1666666666667,2015.5833333333333
5000,47221427586,1999.0833333333333,2015.5833333333333
5000,14167158448,2013.0833333333333,2015.5833333333333
5006,47531651663,1999.0833333333333,2015.5833333333333
5000,15513455884,0.0,2005.25
5000,29028012789,2007.75,2015.5833333333333
5000,12094364274,2003.25,2015.5833333333333
5000,53571624779,0.0,2013.5833333333333
5000,28006026868,2000.3333333333333,2015.5833333333333
5000,23812515583,2013.0833333333333,2015.5833333333333
5000,34811427635,2000.4166666666667,2015.5833333333333
5000,48550424352,2015.0833333333333,2015.5833333333333
5000,35045907245,0.0,2007.5833333333333
5006,28602207033,0.0,2004.0
5000,31427451663,2008.5,2015.5833333333333
5006,55302412788,0.0,2015.25
5000,55007998843,0.0,2012.5833333333333
5000,16759676449,2004.0833333333333,2015.5833333333333
5000,39316315352,2013.6666666666667,2015.5833333333333
5006,26761996421,2007.5833333333333,2015.5833333333333
5006,12869367085,2001.3333333333333,2015.5833333333333
